order_id,created_at,customer_email,quantity,unit_price,total,country,currency,phone
,2026-08-01 00:00:00,customer_0@example.com,1,10.0,10.0,US,USD,15550100000
,2026-08-01 00:15:00,customer_1@example.com,3,17.0,51.0,US,USD,15550100001
,2026-08-01 00:30:00,customer_2@example.com,2,14.0,28.0,US,USD,15550100002
,2026-08-01 00:45:00,customer_3@example.com,1,27.0,27.0,US,USD,15550100003
,2026-08-01 01:00:00,customer_4@example.com,1,28.0,28.0,US,USD,15550100004
,2026-08-01 01:15:00,customer_5@example.com,4,11.0,44.0,US,USD,15550100005
,2026-08-01 01:30:00,customer_6@example.com,1,12.0,12.0,US,USD,15550100006
,2026-08-01 01:45:00,customer_7@example.com,2,17.0,34.0,US,USD,15550100007
,2026-08-01 02:00:00,customer_8@example.com,5,29.0,145.0,US,USD,15550100008
,2026-08-01 02:15:00,customer_9@example.com,1,27.0,27.0,US,USD,15550100009
,2026-08-01 02:30:00,customer_10@example.com,2,30.0,60.0,US,USD,15550100010
,2026-08-01 02:45:00,customer_11@example.com,5,23.0,115.0,US,USD,15550100011
,2026-08-01 03:00:00,customer_12@example.com,2,24.0,48.0,US,USD,15550100012
,2026-08-01 03:15:00,customer_13@example.com,5,18.0,90.0,US,USD,15550100013
,2026-08-01 03:30:00,customer_14@example.com,1,15.0,15.0,US,USD,15550100014
,2026-08-01 03:45:00,customer_15@example.com,4,20.0,80.0,US,USD,15550100015
,2026-08-01 04:00:00,customer_16@example.com,3,14.0,42.0,US,USD,15550100016
,2026-08-01 04:15:00,customer_17@example.com,2,20.0,40.0,US,USD,15550100017
,2026-08-01 04:30:00,customer_18@example.com,1,12.0,12.0,US,USD,15550100018
,2026-08-01 04:45:00,customer_19@example.com,4,13.0,52.0,US,USD,15550100019
,2026-08-01 05:00:00,customer_20@example.com,3,21.0,63.0,US,USD,15550100020
,2026-08-01 05:15:00,customer_21@example.com,5,18.0,90.0,US,USD,15550100021
,2026-08-01 05:30:00,customer_22@example.com,1,24.0,24.0,US,USD,15550100022
,2026-08-01 05:45:00,customer_23@example.com,5,13.0,65.0,US,USD,15550100023
,2026-08-01 06:00:00,customer_24@example.com,4,12.0,48.0,US,USD,15550100024
,2026-08-01 06:15:00,customer_25@example.com,5,19.0,95.0,US,USD,15550100025
,2026-08-01 06:30:00,customer_26@example.com,5,21.0,105.0,US,USD,15550100026
,2026-08-01 06:45:00,customer_27@example.com,5,16.0,80.0,US,USD,15550100027
,2026-08-01 07:00:00,customer_28@example.com,1,11.0,11.0,US,USD,15550100028
,2026-08-01 07:15:00,customer_29@example.com,2,19.0,38.0,US,USD,15550100029
,2026-08-01 07:30:00,customer_30@example.com,1,17.0,17.0,US,USD,15550100030
,2026-08-01 07:45:00,customer_31@example.com,1,22.0,22.0,US,USD,15550100031
,2026-08-01 08:00:00,customer_32@example.com,3,24.0,72.0,US,USD,15550100032
,2026-08-01 08:15:00,customer_33@example.com,3,15.0,45.0,US,USD,15550100033
,2026-08-01 08:30:00,customer_34@example.com,3,21.0,63.0,US,USD,15550100034
,2026-08-01 08:45:00,customer_35@example.com,2,18.0,36.0,US,USD,15550100035
,2026-08-01 09:00:00,customer_36@example.com,1,29.0,29.0,US,USD,15550100036
,2026-08-01 09:15:00,customer_37@example.com,2,27.0,54.0,US,USD,15550100037
,2026-08-01 09:30:00,customer_38@example.com,2,15.0,30.0,US,USD,15550100038
,2026-08-01 09:45:00,customer_39@example.com,4,22.0,88.0,US,USD,15550100039
,2026-08-01 10:00:00,customer_40@example.com,3,30.0,90.0,US,USD,15550100040
,2026-08-01 10:15:00,customer_41@example.com,5,17.0,85.0,US,USD,15550100041
,2026-08-01 10:30:00,customer_42@example.com,3,11.0,33.0,US,USD,15550100042
,2026-08-01 10:45:00,customer_43@example.com,2,11.0,22.0,US,USD,15550100043
,2026-08-01 11:00:00,customer_44@example.com,3,22.0,66.0,US,USD,15550100044
,2026-08-01 11:15:00,customer_45@example.com,3,12.0,36.0,US,USD,15550100045
,2026-08-01 11:30:00,customer_46@example.com,2,28.0,56.0,US,USD,15550100046
,2026-08-01 11:45:00,customer_47@example.com,3,16.0,48.0,US,USD,15550100047
,2026-08-01 12:00:00,customer_48@example.com,4,22.0,88.0,US,USD,15550100048
,2026-08-01 12:15:00,customer_49@example.com,4,14.0,56.0,US,USD,15550100049
,2026-08-01 12:30:00,customer_50@example.com,3,14.0,42.0,US,USD,15550100050
,2026-08-01 12:45:00,customer_51@example.com,2,27.0,54.0,US,USD,15550100051
,2026-08-01 13:00:00,customer_52@example.com,5,18.0,90.0,US,USD,15550100052
,2026-08-01 13:15:00,customer_53@example.com,5,23.0,115.0,US,USD,15550100053
,2026-08-01 13:30:00,customer_54@example.com,5,22.0,110.0,US,USD,15550100054
,2026-08-01 13:45:00,customer_55@example.com,3,17.0,51.0,US,USD,15550100055
,2026-08-01 14:00:00,customer_56@example.com,2,26.0,52.0,US,USD,15550100056
,2026-08-01 14:15:00,customer_57@example.com,4,12.0,48.0,US,USD,15550100057
