order_id,customer_email,quantity,unit_price,total,order_date,product_name
3000,buyer000@storefront.com,5,65.62,328.1,2026-02-01,Product 0
3001,buyer001@storefront.com,2,75.04,150.08,2026-02-01,Product 1
3002,buyer002@storefront.com,7,85.43,598.01,2026-02-01,Product 2
3003,buyer003@storefront.com,4,18.05,72.2,2026-02-01,Product 3
3004,buyer004@storefront.com,4,80.68,322.72,2026-02-01,Product 4
3005,buyer005@storefront.com,5,35.74,178.7,2026-02-01,Product 5
3006,buyer006@storefront.com,2,50.68,101.36,2026-02-01,Product 6
3007,buyer007@storefront.com,7,74.76,523.32,2026-02-01,Product 7
3008,buyer008@storefront.com,1,68.79,68.79,2026-02-01,Product 8
3009,buyer009@storefront.com,2,26.04,52.08,2026-02-01,Product 9
3010,buyer010@storefront.com,7,64.41,450.87,2026-02-01,Product 10
3011,buyer011@storefront.com,3,20.19,60.57,2026-02-01,Product 11
3012,buyer012@storefront.com,3,41.78,125.34,2026-02-01,Product 12
3013,buyer013@storefront.com,1,75.96,75.96,2026-02-01,Product 13
3014,buyer014@storefront.com,7,47.08,329.56,2026-02-01,Product 14
3015,buyer015@storefront.com,5,59.99,299.95,2026-02-01,Product 15
3016,buyer016@storefront.com,1,69.61,69.61,2026-02-01,Product 16
3017,buyer017@storefront.com,5,76.59,382.95,2026-02-01,Product 17
3018,buyer018@storefront.com,1,72.04,72.04,2026-02-01,Product 18
3019,buyer019@storefront.com,4,15.54,62.16,2026-02-01,Product 19
3020,buyer020@storefront.com,3,46.52,139.56,2026-02-01,Product 20
3021,buyer021@storefront.com,7,49.74,348.18,2026-02-01,Product 21
3022,buyer022@storefront.com,4,19.16,76.64,2026-02-01,Product 22
3023,buyer023@storefront.com,5,55.61,278.05,2026-02-01,Product 23
3024,buyer024@storefront.com,5,60.58,302.9,2026-02-02,Product 24
3025,buyer025@storefront.com,6,77.13,462.78,2026-02-02,Product 0
3026,buyer026@storefront.com,1,85.64,85.64,2026-02-02,Product 1
3027,buyer027@storefront.com,1,24.61,24.61,2026-02-02,Product 2
3028,buyer028@storefront.com,6,32.28,193.68,2026-02-02,Product 3
3029,buyer029@storefront.com,1,64.44,64.44,2026-02-02,Product 4
3030,buyer030@storefront.com,4,24.94,99.76,2026-02-02,Product 5
3031,buyer031@storefront.com,6,31.81,190.86,2026-02-02,Product 6
3032,buyer032@storefront.com,1,58.11,58.11,2026-02-02,Product 7
3033,buyer033@storefront.com,3,27.71,83.13,2026-02-02,Product 8
3034,buyer034@storefront.com,1,73.67,73.67,2026-02-02,Product 9
3035,buyer035@storefront.com,2,79.27,158.54,2026-02-02,Product 10
3036,buyer036@storefront.com,7,17.53,122.71,2026-02-02,Product 11
3037,buyer037@storefront.com,7,54.95,384.65,2026-02-02,Product 12
3038,buyer038@storefront.com,5,74.77,373.85,2026-02-02,Product 13
3039,buyer039@storefront.com,7,88.14,616.98,2026-02-02,Product 14
3040,buyer040@storefront.com,2,35.57,71.14,2026-02-02,Product 15
3041,buyer041@storefront.com,4,27.68,110.72,2026-02-02,Product 16
3042,buyer042@storefront.com,4,80.75,323.0,2026-02-02,Product 17
3043,buyer043@storefront.com,1,83.19,83.19,2026-02-02,Product 18
3044,buyer044@storefront.com,4,29.81,119.24,2026-02-02,Product 19
3045,buyer045@storefront.com,1,48.11,48.11,2026-02-02,Product 20
3046,buyer046@storefront.com,2,68.94,137.88,2026-02-02,Product 21
3047,buyer047@storefront.com,1,78.4,78.4,2026-02-02,Product 22
3048,buyer048@storefront.com,1,27.62,27.62,2026-02-03,Product 23
3049,buyer049@storefront.com,7,64.87,454.09,2026-02-03,Product 24
3050,buyer050@storefront.com,6,75.59,453.54,2026-02-03,Product 0
3051,buyer051@storefront.com,5,56.23,281.15,2026-02-03,Product 1
3052,buyer052@storefront.com,5,27.35,136.75,2026-02-03,Product 2
3053,buyer053@storefront.com,5,17.66,88.3,2026-02-03,Product 3
3054,buyer054@storefront.com,3,36.12,108.36,2026-02-03,Product 4
3055,buyer055@storefront.com,2,75.59,151.18,2026-02-03,Product 5
3056,buyer056@storefront.com,4,18.36,73.44,2026-02-03,Product 6
3057,buyer057@storefront.com,1,15.62,15.62,2026-02-03,Product 7
3058,buyer058@storefront.com,6,42.12,252.72,2026-02-03,Product 8
3059,buyer059@storefront.com,5,19.77,98.85,2026-02-03,Product 9
3060,buyer060@storefront.com,1,26.21,26.21,2026-02-03,Product 10
3061,buyer061@storefront.com,6,16.74,100.44,2026-02-03,Product 11
3062,buyer062@storefront.com,5,54.35,271.75,2026-02-03,Product 12
3063,buyer063@storefront.com,4,67.25,269.0,2026-02-03,Product 13
3064,buyer064@storefront.com,2,47.03,94.06,2026-02-03,Product 14
3065,buyer065@storefront.com,4,25.09,100.36,2026-02-03,Product 15
3066,buyer066@storefront.com,4,39.85,159.4,2026-02-03,Product 16
3067,buyer067@storefront.com,4,59.28,237.12,2026-02-03,Product 17
3068,buyer068@storefront.com,2,85.55,171.1,2026-02-03,Product 18
3069,buyer069@storefront.com,4,89.44,357.76,2026-02-03,Product 19
3070,buyer070@storefront.com,4,33.12,132.48,2026-02-03,Product 20
3071,buyer071@storefront.com,5,15.79,78.95,2026-02-03,Product 21
3072,buyer072@storefront.com,4,77.3,309.2,2026-02-04,Product 22
3073,buyer073@storefront.com,2,84.5,169.0,2026-02-04,Product 23
3074,buyer074@storefront.com,4,49.4,197.6,2026-02-04,Product 24
3075,buyer075@storefront.com,7,72.86,510.02,2026-02-04,Product 0
3076,buyer076@storefront.com,2,79.96,159.92,2026-02-04,Product 1
3077,buyer077@storefront.com,6,60.72,364.32,2026-02-04,Product 2
3078,buyer078@storefront.com,2,80.45,160.9,2026-02-04,Product 3
3079,buyer079@storefront.com,6,16.79,100.74,2026-02-04,Product 4
3080,buyer080@storefront.com,2,35.37,70.74,2026-02-04,Product 5
3081,buyer081@storefront.com,3,35.79,107.37,2026-02-04,Product 6
3082,buyer082@storefront.com,4,24.05,96.2,2026-02-04,Product 7
3083,buyer083@storefront.com,3,83.3,249.9,2026-02-04,Product 8
3084,buyer084@storefront.com,3,17.28,51.84,2026-02-04,Product 9
3085,buyer085@storefront.com,6,65.44,392.64,2026-02-04,Product 10
3086,buyer086@storefront.com,4,20.35,81.4,2026-02-04,Product 11
3087,buyer087@storefront.com,4,42.06,168.24,2026-02-04,Product 12
3088,buyer088@storefront.com,3,46.36,139.08,2026-02-04,Product 13
3089,buyer089@storefront.com,1,28.61,28.61,2026-02-04,Product 14
3090,buyer090@storefront.com,5,54.08,270.4,2026-02-04,Product 15
3091,buyer091@storefront.com,6,55.12,330.72,2026-02-04,Product 16
3092,buyer092@storefront.com,4,38.78,155.12,2026-02-04,Product 17
3093,buyer093@storefront.com,2,70.28,140.56,2026-02-04,Product 18
3094,buyer094@storefront.com,2,27.02,54.04,2026-02-04,Product 19
3095,buyer095@storefront.com,5,29.44,147.2,2026-02-04,Product 20
3096,buyer096@storefront.com,4,41.59,166.36,2026-02-05,Product 21
3097,buyer097@storefront.com,7,43.38,303.66,2026-02-05,Product 22
3098,buyer098@storefront.com,7,30.47,213.29,2026-02-05,Product 23
3099,buyer099@storefront.com,5,83.9,419.5,2026-02-05,Product 24
3100,buyer100@storefront.com,5,77.11,385.55,2026-02-05,Product 0
3101,buyer101@storefront.com,6,23.02,138.12,2026-02-05,Product 1
3102,buyer102@storefront.com,5,42.71,213.55,2026-02-05,Product 2
3103,buyer103@storefront.com,4,32.45,129.8,2026-02-05,Product 3
3104,buyer104@storefront.com,4,48.83,195.32,2026-02-05,Product 4
3105,buyer105@storefront.com,1,35.72,35.72,2026-02-05,Product 5
3106,buyer106@storefront.com,5,52.64,263.2,2026-02-05,Product 6
3107,buyer107@storefront.com,4,84.2,336.8,2026-02-05,Product 7
3108,buyer108@storefront.com,1,43.69,43.69,2026-02-05,Product 8
3109,buyer109@storefront.com,3,63.76,191.28,2026-02-05,Product 9
3110,buyer110@storefront.com,3,59.67,179.01,2026-02-05,Product 10
