order_id,customer_email,quantity,unit_price,total,order_date,product_name
4000,client0@retail.com,4,37.09,148.36,2026-03-01,Product 0
4001,client1@retail.com,4,65.54,262.16,2026-03-01,Product 1
4002,client2@retail.com,2,68.79,137.58,2026-03-01,Product 2
4003,,3,66.66,199.98,2026-03-01,Product 3
4004,client4@retail.com,1,34.86,34.86,2026-03-01,Product 4
4005,client5@retail.com,1,81.14,81.14,2026-03-01,Product 5
4006,client6@retail.com,1,35.42,35.42,2026-03-01,Product 6
4007,client7@retail.com,5,35.71,178.55,2026-03-01,Product 7
4008,client8@retail.com,-2,78.2,-156.4,2026-03-01,Product 8
4009,client9@retail.com,3,89.3,267.9,2026-03-01,Product 9
4011,,5,29.76,148.8,2026-03-01,Product 11
4012,not-an-email,1,20.09,20.09,2026-03-01,Product 12
4013,client13@retail.com,3,62.81,188.43,2026-03-01,Product 13
4014,client14@retail.com,2,87.2,174.4,2026-03-01,Product 14
4015,client15@retail.com,4,87.27,349.08,2026-03-01,Product 0
4016,client16@retail.com,2,44.34,88.68,2026-03-01,Product 1
4017,client17@retail.com,1,83.17,83.17,2026-03-01,Product 2
4018,client18@retail.com,2,32.71,65.42,2026-03-01,Product 3
4019,,4,67.39,269.56,2026-03-01,Product 4
4020,client20@retail.com,4,32.74,130.96,2026-03-01,Product 5
4021,client21@retail.com,4,15.92,63.68,2026-03-01,Product 6
4022,client22@retail.com,-3,19.95,-59.85,2026-03-01,Product 7
4023,client23@retail.com,5,79.0,395.0,2026-03-01,Product 8
4024,client24@retail.com,3,62.15,186.45,2026-03-02,Product 9
4026,client26@retail.com,3,53.73,161.19,2026-03-02,Product 11
4027,,5,47.59,237.95,2026-03-02,Product 12
4028,client28@retail.com,2,80.28,160.56,2026-03-02,Product 13
4029,client29@retail.com,1,71.27,71.27,2026-03-02,Product 14
4030,client30@retail.com,3,23.2,69.6,2026-03-02,Product 0
4031,client31@retail.com,1,67.2,67.2,2026-03-02,Product 1
4032,client32@retail.com,3,81.84,245.52,2026-03-02,Product 2
4033,missing@domain,3,25.19,75.57,2026-03-02,Product 3
4034,client34@retail.com,5,50.38,251.9,2026-03-02,Product 4
4035,,4,40.48,161.92,2026-03-02,Product 5
4036,client36@retail.com,2,49.84,99.68,2026-03-02,Product 6
4037,client37@retail.com,5,27.69,138.45,2026-03-02,Product 7
4038,client38@retail.com,5,45.09,225.45,2026-03-02,Product 8
4039,client39@retail.com,2,34.47,68.94,2026-03-02,Product 9
4040,client40@retail.com,-2,19.13,-38.26,2026-03-02,Product 10
4041,client41@retail.com,2,44.83,89.66,2026-03-02,Product 11
4042,client42@retail.com,5,66.18,330.9,2026-03-02,Product 12
4043,client43@retail.com,1,46.65,46.65,2026-03-02,Product 13
4044,client44@retail.com,5,42.85,214.25,2026-03-02,Product 14
4045,client45@retail.com,3,54.78,164.34,2026-03-02,Product 0
4046,client46@retail.com,5,66.32,331.6,2026-03-02,Product 1
4047,client47@retail.com,4,23.5,94.0,2026-03-02,Product 2
4048,,4,63.39,253.56,2026-03-03,Product 3
4049,client49@retail.com,3,28.93,86.79,2026-03-03,Product 4
4050,client50@retail.com,1,850.0,850.0,2026-03-03,Product 5
4051,client51@retail.com,4,71.14,284.56,2026-03-03,Product 6
4052,client52@retail.com,1,920.5,920.5,2026-03-03,Product 7
4053,client53@retail.com,5,57.1,285.5,2026-03-03,Product 8
4054,client54@retail.com,2,63.5,127.0,2026-03-03,Product 9
4055,client55@retail.com,1,999.0,999.0,2026-03-03,Product 10
4056,client56@retail.com,4,50.8,203.2,2026-03-03,Product 11
4057,client57@retail.com,3,48.66,145.98,2026-03-03,Product 12
4058,client58@retail.com,3,56.87,170.61,2026-03-03,Product 13
4059,client59@retail.com,1,18.09,18.09,2026-03-03,Product 14
